Ano;Regiao;Curso;Ano Escolar;Valor Alunos;Valor RSI ;Valor GMM
2012;Arouca;Cursos Tecnológicos e Profissionais;12º ano;14.1;211;744.6
2012;Arraiolos;Cursos gerais;10º ano;22.6;91;838.3
2012;Arraiolos;Cursos gerais;11º ano;16.3;91;838.3
2012;Arraiolos;Cursos gerais;12º ano;34.2;91;838.3
2012;Arraiolos;Cursos Tecnológicos e Profissionais;10º ano;0.0;91;838.3
2012;Arraiolos;Cursos Tecnológicos e Profissionais;11º ano;;91;838.3
2012;Arraiolos;Cursos Tecnológicos e Profissionais;12º ano;11.1;91;838.3
2012;Arronches;Cursos gerais;10º ano;;61;829.2
2012;Arronches;Cursos gerais;11º ano;;61;829.2
2012;Arronches;Cursos gerais;12º ano;;61;829.2
2012;Arronches;Cursos Tecnológicos e Profissionais;10º ano;;61;829.2
2012;Arronches;Cursos Tecnológicos e Profissionais;11º ano;;61;829.2
2012;Arronches;Cursos Tecnológicos e Profissionais;12º ano;;61;829.2
2012;Arruda dos Vinhos;Cursos gerais;10º ano;6.2;82;962.9
2012;Arruda dos Vinhos;Cursos gerais;11º ano;6.7;82;962.9
2012;Arruda dos Vinhos;Cursos gerais;12º ano;33.9;82;962.9
2012;Arruda dos Vinhos;Cursos Tecnológicos e Profissionais;10º ano;22.2;82;962.9
2012;Arruda dos Vinhos;Cursos Tecnológicos e Profissionais;11º ano;0.0;82;962.9
2012;Arruda dos Vinhos;Cursos Tecnológicos e Profissionais;12º ano;55.3;82;962.9
2012;Aveiro;Cursos gerais;10º ano;16.6;948;1114.4
2012;Aveiro;Cursos gerais;11º ano;15.8;948;1114.4
2012;Aveiro;Cursos gerais;12º ano;35.5;948;1114.4
2012;Aveiro;Cursos Tecnológicos e Profissionais;10º ano;5.3;948;1114.4
2012;Aveiro;Cursos Tecnológicos e Profissionais;11º ano;4.3;948;1114.4
2012;Aveiro;Cursos Tecnológicos e Profissionais;12º ano;25.6;948;1114.4
2012;Avis;Cursos gerais;10º ano;;196;855.4
2012;Avis;Cursos gerais;11º ano;;196;855.4
2012;Avis;Cursos gerais;12º ano;;196;855.4
2012;Avis;Cursos Tecnológicos e Profissionais;10º ano;19.4;196;855.4
2012;Avis;Cursos Tecnológicos e Profissionais;11º ano;6.4;196;855.4
2012;Avis;Cursos Tecnológicos e Profissionais;12º ano;12.5;196;855.4
2012;Azambuja;Cursos gerais;10º ano;24.3;316;1118.9
2012;Azambuja;Cursos gerais;11º ano;10.6;316;1118.9
2012;Azambuja;Cursos gerais;12º ano;33.3;316;1118.9
2012;Azambuja;Cursos Tecnológicos e Profissionais;10º ano;0.0;316;1118.9
2012;Azambuja;Cursos Tecnológicos e Profissionais;11º ano;0.0;316;1118.9
2012;Azambuja;Cursos Tecnológicos e Profissionais;12º ano;54.5;316;1118.9
2012;Baião;Cursos gerais;10º ano;22.4;847;741.5
2012;Baião;Cursos gerais;11º ano;18.1;847;741.5
2012;Baião;Cursos gerais;12º ano;36.0;847;741.5
2012;Baião;Cursos Tecnológicos e Profissionais;10º ano;8.2;847;741.5
2012;Baião;Cursos Tecnológicos e Profissionais;11º ano;7.5;847;741.5
2012;Baião;Cursos Tecnológicos e Profissionais;12º ano;11.3;847;741.5
2012;Barcelos;Cursos gerais;10º ano;10.1;779;790.3
2012;Barcelos;Cursos gerais;11º ano;10.2;779;790.3
2012;Barcelos;Cursos gerais;12º ano;25.6;779;790.3
2012;Barcelos;Cursos Tecnológicos e Profissionais;10º ano;6.1;779;790.3
2012;Barcelos;Cursos Tecnológicos e Profissionais;11º ano;2.2;779;790.3
2012;Barcelos;Cursos Tecnológicos e Profissionais;12º ano;15.2;779;790.3
2012;Barrancos;Cursos gerais;10º ano;;64;772.5
2012;Barrancos;Cursos gerais;11º ano;;64;772.5
2012;Barrancos;Cursos gerais;12º ano;;64;772.5
2012;Barrancos;Cursos Tecnológicos e Profissionais;10º ano;;64;772.5
2012;Barrancos;Cursos Tecnológicos e Profissionais;11º ano;;64;772.5
2012;Barrancos;Cursos Tecnológicos e Profissionais;12º ano;;64;772.5
2012;Barreiro;Cursos gerais;10º ano;17.9;2050;1056.7
2012;Barreiro;Cursos gerais;11º ano;18.7;2050;1056.7
2012;Barreiro;Cursos gerais;12º ano;39.4;2050;1056.7
2012;Barreiro;Cursos Tecnológicos e Profissionais;10º ano;11.3;2050;1056.7
2012;Barreiro;Cursos Tecnológicos e Profissionais;11º ano;10.2;2050;1056.7
2012;Barreiro;Cursos Tecnológicos e Profissionais;12º ano;53.1;2050;1056.7
2012;Batalha;Cursos gerais;10º ano;15.8;69;912.5
2012;Batalha;Cursos gerais;11º ano;2.4;69;912.5
2012;Batalha;Cursos gerais;12º ano;28.4;69;912.5
2012;Batalha;Cursos Tecnológicos e Profissionais;10º ano;33.8;69;912.5
2012;Batalha;Cursos Tecnológicos e Profissionais;11º ano;15.0;69;912.5
2012;Batalha;Cursos Tecnológicos e Profissionais;12º ano;51.7;69;912.5
2012;Beja;Cursos gerais;10º ano;15.3;1172;978.3
2012;Beja;Cursos gerais;11º ano;11.2;1172;978.3
2012;Beja;Cursos gerais;12º ano;34.3;1172;978.3
2012;Beja;Cursos Tecnológicos e Profissionais;10º ano;18.3;1172;978.3
2012;Beja;Cursos Tecnológicos e Profissionais;11º ano;6.7;1172;978.3
2012;Beja;Cursos Tecnológicos e Profissionais;12º ano;29.4;1172;978.3
2012;Belmonte;Cursos gerais;10º ano;26.7;153;729.7
2012;Belmonte;Cursos gerais;11º ano;25.0;153;729.7
2012;Belmonte;Cursos gerais;12º ano;33.3;153;729.7
2012;Belmonte;Cursos Tecnológicos e Profissionais;10º ano;;153;729.7
2012;Belmonte;Cursos Tecnológicos e Profissionais;11º ano;9.1;153;729.7
2012;Belmonte;Cursos Tecnológicos e Profissionais;12º ano;;153;729.7
2012;Benavente;Cursos gerais;10º ano;16.4;583;980.7
2012;Benavente;Cursos gerais;11º ano;14.0;583;980.7
2012;Benavente;Cursos gerais;12º ano;43.3;583;980.7
2012;Benavente;Cursos Tecnológicos e Profissionais;10º ano;11.5;583;980.7
2012;Benavente;Cursos Tecnológicos e Profissionais;11º ano;;583;980.7
