Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor GMM
2012;Ribeira de Pena;0.087;0.0;0.01;0.0;1.0;0.0;0.112;0.209;821.8
2012;Ribeira Grande;0.993;1.0;0.314;0.481;1.0;0.585;1.0;0.376;933.0
2012;Rio Maior;0.038;0.0;0.226;0.0;1.0;0.871;0.299;0.332;903.6
2012;Sabrosa;0.188;0.0;0.049;0.0;0.662;0.115;0.146;0.414;958.1
2012;Sabugal;0.895;0.0;0.073;0.0;1.0;0.0;0.26;0.116;760.4
2012;Salvaterra de Magos;0.213;0.0;0.436;0.0;1.0;1.0;0.345;0.305;885.9
2012;Santa Comba Dão;0.0;0.446;0.0;0.111;1.0;1.0;0.161;0.229;835.6
2012;Santa Cruz da Graciosa;0.686;1.0;0.348;0.425;1.0;0.345;0.209;0.376;933.0
2012;Santa Cruz das Flores;0.603;0.345;0.777;0.345;1.0;0.345;0.068;0.376;933.0
2012;Santa Maria da Feira;0.0;0.0;0.0;0.0;0.735;0.944;1.0;0.395;945.5
2012;Santa Marta de Penaguião;0.331;0.331;0.331;0.331;0.331;0.331;0.243;0.091;743.6
2012;Santana;0.0;0.338;0.0;0.338;0.997;0.338;0.172;0.214;825.5
2012;Santarém;0.118;0.0;0.139;0.0;0.941;0.578;1.0;0.438;974.3
2012;Santiago do Cacém;0.077;0.223;0.0;0.0;0.833;0.348;0.297;0.357;920.3
2012;Santo Tirso;0.066;0.0;0.059;0.0;0.561;0.202;1.0;0.245;845.9
2012;São Brás de Alportel;0.254;0.0;0.265;0.0;0.233;1.0;0.18;0.38;935.5
2012;São João da Madeira;0.0;0.0;0.0;0.0;0.861;0.265;0.295;0.38;935.4
2012;São João da Pesqueira;0.69;0.362;0.3;0.031;1.0;1.0;0.147;0.19;809.6
2012;São Pedro do Sul;0.101;0.0;0.024;0.0;0.77;0.0;0.199;0.078;735.4
2012;São Roque do Pico;0.613;0.345;0.725;0.0;0.348;0.812;0.137;0.376;933.0
2012;São Vicente;0.0;1.0;0.087;0.0;0.812;0.76;0.046;0.206;820.0
2012;Sardoal;0.47;0.77;0.812;0.0;0.871;0.488;0.105;0.121;763.8
2012;Sátão;0.348;0.063;0.293;0.0;1.0;1.0;0.234;0.071;730.4
2012;Seia;0.056;0.101;0.153;0.0;0.749;0.021;0.573;0.164;792.4
2012;Sernancelhe;0.328;0.0;0.328;0.0;0.328;0.0;0.153;0.051;717.6
2012;Serpa;0.118;0.0;0.073;0.0;0.666;0.481;0.653;0.179;802.2
2012;Sertã;0.185;0.0;0.0;0.0;0.941;0.446;0.207;0.155;786.0
2012;Sesimbra;0.286;0.115;0.206;0.0;1.0;1.0;0.691;0.36;922.1
2012;Sever do Vouga;0.15;0.0;0.0;0.0;0.753;0.01;0.071;0.342;910.6
2012;Silves;0.334;0.275;0.115;0.0;0.655;1.0;0.364;0.327;900.3
2012;Sobral de Monte Agraço;0.272;0.0;0.0;0.0;0.303;0.338;0.106;0.233;837.7
2012;Soure;0.129;0.07;0.0;0.0;0.341;0.0;0.113;0.192;810.7
2012;Sousel;0.334;0.334;0.334;0.334;0.334;0.334;0.138;0.154;785.9
2012;Tábua;0.54;0.725;0.247;0.052;1.0;0.0;0.267;0.09;743.2
2012;Tabuaço;0.195;0.0;0.049;0.0;1.0;0.338;0.193;0.187;807.4
2012;Tarouca;0.279;0.0;0.366;0.0;1.0;0.0;0.179;0.144;778.9
2012;Tavira;0.073;0.369;0.533;0.0;0.822;1.0;0.375;0.247;847.0
2012;Terras de Bouro;1.0;0.0;0.15;0.0;1.0;0.0;0.027;0.226;833.3
2012;Tomar;0.157;0.0;0.049;0.0;1.0;0.638;0.643;0.341;909.8
2012;Tondela;0.275;0.132;0.003;0.0;0.937;0.509;0.21;0.368;927.7
2012;Torres Novas;0.063;0.028;0.0;0.0;0.787;0.091;0.417;0.484;1004.3
2012;Torres Vedras;0.324;0.523;0.091;0.282;0.864;1.0;0.729;0.362;923.4
2012;Trancoso;0.0;0.038;0.105;0.0;1.0;0.76;0.156;0.203;818.2
2012;Trofa;0.15;0.0;0.0;0.0;0.418;0.613;1.0;0.416;959.2
2012;Vagos;0.0;0.042;0.101;0.0;1.0;0.446;0.152;0.261;856.3
2012;Vale de Cambra;0.031;0.087;0.0;0.0;0.568;0.213;0.132;0.486;1005.5
2012;Valença;0.209;0.3;0.0;0.0;0.843;0.376;0.202;0.258;854.8
2012;Valongo;0.31;0.268;0.077;0.0;1.0;0.993;1.0;0.366;926.3
2012;Valpaços;0.15;0.0;0.167;0.0;0.753;0.105;0.355;0.09;742.9
2012;Velas;0.857;0.77;0.275;0.063;0.753;0.0;0.19;0.376;933.0
2012;Vendas Novas;0.199;0.523;0.279;0.0;0.976;0.0;0.208;0.429;968.2
2012;Viana do Alentejo;0.122;0.338;0.077;0.0;0.725;0.338;0.153;0.213;824.5
2012;Viana do Castelo;0.0;0.014;0.0;0.0;0.686;0.146;1.0;0.392;943.7
2012;Vidigueira;0.338;0.348;0.338;0.0;0.338;0.0;0.28;0.233;838.3
2012;Vieira do Minho;0.0;0.157;0.216;0.0;0.965;0.223;0.269;0.373;931.0
2012;Vila da Praia da Vitória;0.362;0.495;0.073;0.22;0.854;0.791;1.0;0.376;933.0
2012;Vila de Rei;1.0;0.0;0.0;0.324;0.324;0.324;0.037;0.013;692.1
2012;Vila do Bispo;0.341;0.341;0.341;0.341;0.341;0.341;0.034;0.323;897.9
2012;Vila do Conde;0.178;0.0;0.003;0.0;0.787;0.167;1.0;0.438;973.8
2012;Vila do Porto;0.54;1.0;0.08;0.523;1.0;0.0;0.295;0.376;933.0
2012;Vila Flor;0.585;0.882;0.213;0.331;0.0;0.331;0.06;0.138;774.7
2012;Vila Franca do Campo;1.0;0.383;0.54;0.0;1.0;0.0;1.0;0.376;933.0
2012;Vila Nova da Barquinha;0.889;0.338;0.286;0.338;0.725;0.348;0.118;0.237;840.7
2012;Vila Nova de Cerveira;0.185;0.31;0.038;0.0;1.0;0.188;0.038;0.368;927.3
2012;Vila Nova de Famalicão;0.0;0.0;0.0;0.0;0.578;0.787;1.0;0.391;942.9
2012;Vila Nova de Foz Côa;0.087;0.338;0.425;0.725;0.568;0.0;0.103;0.219;828.9
2012;Vila Nova de Paiva;0.279;0.0;0.098;0.0;1.0;1.0;0.048;0.062;724.5
2012;Vila Nova de Poiares;0.233;0.624;0.767;0.0;1.0;0.993;0.224;0.176;800.5
2012;Vila Pouca de Aguiar;0.467;0.0;0.247;0.0;0.836;1.0;0.274;0.144;779.0
