Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor RSI
2015;Baião;0.066;0.143;0.0;0.0;1.0;0.847;0.532;0.08;603.0
2015;Barreiro;0.254;0.0;0.035;0.0;0.829;1.0;1.0;0.597;603.0
2015;Beja;0.199;0.01;0.028;0.0;0.958;1.0;1.0;0.49;603.0
2015;Braga;0.146;0.0;0.0;0.0;0.509;0.711;1.0;0.454;603.0
2015;Câmara de Lobos;0.362;1.0;0.188;0.0;1.0;0.0;0.526;0.337;799.0
2015;Cascais;0.254;0.0;0.052;0.0;0.686;1.0;1.0;0.706;799.0
2015;Castelo Branco;0.286;0.0;0.122;0.0;0.509;0.547;0.816;0.313;799.0
2015;Chaves;0.0;0.0;0.0;0.0;0.443;0.993;0.53;0.224;799.0
2015;Coimbra;0.028;0.0;0.0;0.0;0.516;0.857;1.0;0.558;799.0
2015;Covilhã;0.021;0.0;0.0;0.0;0.516;0.143;0.787;0.293;799.0
2015;Elvas;0.066;0.122;0.54;0.0;0.892;0.777;1.0;0.255;799.0
2015;Espinho;0.226;0.0;0.0;0.0;0.111;0.934;0.811;0.321;799.0
2015;Estarreja;0.188;0.0;0.0;0.0;0.84;1.0;0.532;0.599;799.0
2015;Évora;0.07;0.0;0.0;0.0;0.791;0.519;0.989;0.533;799.0
2015;Faro;0.233;0.0;0.091;0.0;0.986;0.794;1.0;0.602;799.0
2015;Figueira da Foz;0.118;0.073;0.0;0.0;0.474;0.596;0.812;0.595;799.0
2015;Funchal;0.101;0.321;0.007;0.0;0.575;0.519;1.0;0.617;799.0
2015;Gondomar;0.122;0.0;0.0;0.0;0.575;0.394;1.0;0.33;799.0
2015;Guarda;0.0;0.0;0.0;0.0;0.296;0.453;0.658;0.387;799.0
2015;Guimarães;0.087;0.0;0.0;0.0;0.571;0.286;0.691;0.261;799.0
2015;Lagoa [R.A.A.];0.725;1.0;0.613;0.812;1.0;1.0;1.0;0.249;799.0
2015;Leiria;0.118;0.0;0.15;0.0;0.652;0.721;0.814;0.484;799.0
2015;Lisboa;0.24;0.0;0.105;0.0;0.666;0.955;1.0;1.0;799.0
2015;Loulé;0.338;0.0;0.338;0.0;1.0;1.0;0.635;0.39;799.0
2015;Loures;0.359;0.0;0.139;0.0;0.871;0.955;1.0;0.686;799.0
2015;Lousada;0.003;0.0;0.0;0.0;0.986;0.46;0.594;0.047;799.0
2015;Maia;0.251;0.003;0.0;0.0;0.749;1.0;1.0;0.748;799.0
2015;Marco de Canaveses;0.01;0.0;0.0;0.0;0.645;0.289;1.0;0.206;799.0
