Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor RSI
2012;Velas;0.857;0.77;0.275;0.063;0.753;0.0;0.19;0.376;316.0
2012;Vendas Novas;0.199;0.523;0.279;0.0;0.976;0.0;0.208;0.429;316.0
2012;Viana do Alentejo;0.122;0.338;0.077;0.0;0.725;0.338;0.153;0.213;316.0
2012;Vidigueira;0.338;0.348;0.338;0.0;0.338;0.0;0.28;0.233;316.0
2012;Vieira do Minho;0.0;0.157;0.216;0.0;0.965;0.223;0.269;0.373;316.0
2012;Vila de Rei;1.0;0.0;0.0;0.324;0.324;0.324;0.037;0.013;316.0
2012;Vila do Bispo;0.341;0.341;0.341;0.341;0.341;0.341;0.034;0.323;64.0
2012;Vila do Porto;0.54;1.0;0.08;0.523;1.0;0.0;0.295;0.376;64.0
2012;Vila Flor;0.585;0.882;0.213;0.331;0.0;0.331;0.06;0.138;64.0
2012;Vila Nova da Barquinha;0.889;0.338;0.286;0.338;0.725;0.348;0.118;0.237;64.0
2012;Vila Nova de Cerveira;0.185;0.31;0.038;0.0;1.0;0.188;0.038;0.368;64.0
2012;Vila Nova de Foz Côa;0.087;0.338;0.425;0.725;0.568;0.0;0.103;0.219;64.0
2012;Vila Nova de Paiva;0.279;0.0;0.098;0.0;1.0;1.0;0.048;0.062;69.0
2012;Vila Nova de Poiares;0.233;0.624;0.767;0.0;1.0;0.993;0.224;0.176;69.0
2012;Vila Pouca de Aguiar;0.467;0.0;0.247;0.0;0.836;1.0;0.274;0.144;69.0
2012;Vila Verde;0.439;0.272;0.125;0.0;1.0;0.446;0.184;0.181;69.0
2012;Vila Viçosa;0.481;0.188;0.07;0.0;1.0;0.0;0.167;0.428;69.0
2012;Vimioso;0.328;0.328;0.328;0.328;0.328;0.328;0.02;0.074;69.0
2012;Vinhais;1.0;0.334;0.028;0.334;1.0;0.334;0.123;0.145;153.0
2012;Vizela;0.282;0.028;0.0;0.0;0.617;0.47;0.184;0.059;153.0
2012;Vouzela;0.157;0.202;0.746;0.0;0.557;0.213;0.035;0.172;153.0
2013;Aguiar da Beira;0.296;0.0;0.0;0.0;1.0;0.725;0.034;0.03;153.0
