Ano;Regiao;Curso;Ano Escolar;Valor Alunos;Valor RSI;Valor GMM;zscore_valor_alunos;zscore_bool_valor_alunos;zscore_valor_rsi;zscore_bool_valor_rsi;zscore_valor_gmm;zscore_bool_valor_gmm
2012;Alter do Chão;Cursos Tecnológicos e Profissionais;11º ano;0.0;126.0;801.3;-1.1323637759601095;TRUE;-0.3064850089269826;TRUE;-0.8901157183826744;TRUE
2012;Alter do Chão;Cursos Tecnológicos e Profissionais;12º ano;47.97986643658798;126.0;801.3;3.121492232610167;FALSE;-0.3064850089269826;TRUE;-0.8901157183826744;TRUE
2012;Alvaiázere;Cursos gerais;10º ano;10.7;71.0;834.4;-0.2398881035737967;TRUE;-0.363725858305888;TRUE;-0.7106077895516303;TRUE
2012;Alvaiázere;Cursos gerais;11º ano;26.9;71.0;834.4;1.11133674620735;TRUE;-0.363725858305888;TRUE;-0.7106077895516303;TRUE
2012;Alvaiázere;Cursos gerais;12º ano;47.97986643658798;71.0;834.4;3.038083291265652;FALSE;-0.363725858305888;TRUE;-0.7106077895516303;TRUE
2012;Alvaiázere;Cursos Tecnológicos e Profissionais;10º ano;19.7;71.0;834.4;0.5107923685268404;TRUE;-0.363725858305888;TRUE;-0.7106077895516303;TRUE
2012;Alvaiázere;Cursos Tecnológicos e Profissionais;11º ano;19.7;71.0;834.4;0.5107923685268404;TRUE;-0.363725858305888;TRUE;-0.7106077895516303;TRUE
2012;Alvaiázere;Cursos Tecnológicos e Profissionais;12º ano;5.9;71.0;834.4;-0.6402510220274698;TRUE;-0.363725858305888;TRUE;-0.7106077895516303;TRUE
2012;Alvito;Cursos gerais;10º ano;19.8;50.0;894.4;0.5191332626612921;TRUE;-0.3855814553414701;TRUE;-0.3852157735436954;TRUE
2012;Alvito;Cursos gerais;11º ano;19.8;50.0;894.4;0.5191332626612921;TRUE;-0.3855814553414701;TRUE;-0.3852157735436954;TRUE
2012;Alvito;Cursos gerais;12º ano;19.8;50.0;894.4;0.5191332626612921;TRUE;-0.3855814553414701;TRUE;-0.3852157735436954;TRUE
2012;Alvito;Cursos Tecnológicos e Profissionais;10º ano;6.7;50.0;894.4;-0.5735238689518576;TRUE;-0.3855814553414701;TRUE;-0.3852157735436954;TRUE
2012;Alvito;Cursos Tecnológicos e Profissionais;11º ano;0.0;50.0;894.4;-1.1323637759601095;TRUE;-0.3855814553414701;TRUE;-0.3852157735436954;TRUE
2012;Alvito;Cursos Tecnológicos e Profissionais;12º ano;27.6;50.0;894.4;1.169723005148511;TRUE;-0.3855814553414701;TRUE;-0.3852157735436954;TRUE
2012;Amadora;Cursos gerais;10º ano;32.5;3303.0;1279.5;1.5784268177366356;TRUE;5.750637598077184;FALSE;1.7032586492005668;TRUE
2012;Amadora;Cursos gerais;11º ano;28.8;3303.0;1279.5;1.2698137347619292;TRUE;5.750637598077184;FALSE;1.7032586492005668;TRUE
2012;Amadora;Cursos gerais;12º ano;47.97986643658798;3303.0;1279.5;3.288310115299198;FALSE;5.750637598077184;FALSE;1.7032586492005668;TRUE
2012;Amadora;Cursos Tecnológicos e Profissionais;10º ano;19.3;3303.0;1279.5;0.4774287919890344;TRUE;5.750637598077184;FALSE;1.7032586492005668;TRUE
2012;Amadora;Cursos Tecnológicos e Profissionais;11º ano;8.4;3303.0;1279.5;-0.4317286686661817;TRUE;5.750637598077184;FALSE;1.7032586492005668;TRUE
2012;Amadora;Cursos Tecnológicos e Profissionais;12º ano;47.97986643658798;3303.0;1279.5;3.5719005158705497;FALSE;5.750637598077184;FALSE;1.7032586492005668;TRUE
2012;Amarante;Cursos gerais;10º ano;12.5;1015.0;832.4;-0.0897520091536692;TRUE;0.6187352655793238;TRUE;-0.7214541900852282;TRUE
2012;Amarante;Cursos gerais;11º ano;6.2;1015.0;832.4;-0.6152283396241152;TRUE;0.6187352655793238;TRUE;-0.7214541900852282;TRUE
2012;Amarante;Cursos gerais;12º ano;38.2;1015.0;832.4;2.053857783400373;TRUE;0.6187352655793238;TRUE;-0.7214541900852282;TRUE
2012;Amarante;Cursos Tecnológicos e Profissionais;10º ano;10.3;1015.0;832.4;-0.2732516801116026;TRUE;0.6187352655793238;TRUE;-0.7214541900852282;TRUE
2012;Amarante;Cursos Tecnológicos e Profissionais;11º ano;5.6;1015.0;832.4;-0.6652737044308245;TRUE;0.6187352655793238;TRUE;-0.7214541900852282;TRUE
2012;Amarante;Cursos Tecnológicos e Profissionais;12º ano;13.9;1015.0;832.4;0.0270205087286521;TRUE;0.6187352655793238;TRUE;-0.7214541900852282;TRUE
2012;Amares;Cursos gerais;10º ano;18.1;240.0;857.9;0.3773380623756162;TRUE;-0.1878403393052516;TRUE;-0.5831625832818558;TRUE
2012;Amares;Cursos gerais;11º ano;17.3;240.0;857.9;0.3106109093000039;TRUE;-0.1878403393052516;TRUE;-0.5831625832818558;TRUE
2012;Amares;Cursos gerais;12º ano;33.3;240.0;857.9;1.6451539708122476;TRUE;-0.1878403393052516;TRUE;-0.5831625832818558;TRUE
2012;Amares;Cursos Tecnológicos e Profissionais;10º ano;15.3;240.0;857.9;0.1437930266109734;TRUE;-0.1878403393052516;TRUE;-0.5831625832818558;TRUE
2012;Amares;Cursos Tecnológicos e Profissionais;11º ano;5.9;240.0;857.9;-0.6402510220274698;TRUE;-0.1878403393052516;TRUE;-0.5831625832818558;TRUE
2012;Amares;Cursos Tecnológicos e Profissionais;12º ano;8.3;240.0;857.9;-0.4400695628006332;TRUE;-0.1878403393052516;TRUE;-0.5831625832818558;TRUE
