Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;;;;
2012;Moita;0.592;0.0;0.627;0.0;1.0;0.631;1.0;0.401;0.602;;0.602;0.602
2012;Monção;0.0;0.0;0.0;0.0;0.707;0.0;0.067;0.136;0.957;;0.957;0.957
2012;Monchique;0.331;0.331;0.331;0.331;0.331;0.331;0.054;0.134;0.616;;0.616;0.616
2012;Mondim de Basto;0.202;0.425;0.0;0.15;1.0;0.408;0.241;0.087;0.56;;0.56;0.56
2012;Monforte;0.345;0.345;0.345;0.345;0.345;0.345;0.251;0.342;0.676;;0.676;0.676
2012;Montalegre;1.0;0.0;0.258;0.0;0.958;0.0;0.06;0.125;0.737;;0.737;0.737
2012;Montemor-o-Novo;0.289;0.0;0.063;0.0;0.718;0.812;0.214;0.29;1.0;;1.0;1.0
2012;Montemor-o-Velho;0.348;0.0;0.157;0.0;0.662;1.0;0.284;0.224;0.72;;0.72;0.72
2012;Montijo;0.463;0.073;0.122;0.0;1.0;1.0;1.0;0.458;0.535;;0.535;0.535
2012;Mora;1.0;0.523;0.265;0.338;1.0;0.0;0.124;0.209;1.0;;1.0;1.0
2012;Mortágua;0.0;0.261;0.0;0.0;0.739;0.0;0.075;0.271;0.668;;0.668;0.668
2012;Moura;0.512;0.021;0.0;0.0;0.436;0.157;1.0;0.253;0.553;;0.553;0.553
2012;Mourão;0.338;0.338;0.338;0.338;0.338;0.338;0.323;0.189;0.647;;0.647;0.647
2012;Murça;0.523;0.0;0.0;0.0;1.0;1.0;0.16;0.056;0.51;;0.51;0.51
2012;Murtosa;0.188;0.334;0.0;0.265;0.47;0.725;0.131;0.166;1.0;;1.0;1.0
2012;Nazaré;0.094;0.031;0.125;0.16;0.798;0.627;0.171;0.196;0.655;;0.655;0.655
2012;Nelas;0.223;0.0;0.0;0.0;0.418;0.92;0.366;0.413;0.589;;0.589;0.589
2012;Nisa;0.0;0.362;0.0;0.366;1.0;0.746;0.103;0.168;0.606;;0.606;0.606
2012;Nordeste;1.0;0.0;0.296;0.0;0.425;0.0;0.354;0.376;0.966;;0.966;0.966
2012;Óbidos;0.188;0.0;0.314;0.345;0.523;0.648;0.071;0.366;0.665;;0.665;0.665
2012;Odemira;0.582;0.641;0.181;0.031;1.0;0.0;0.354;0.257;0.601;;0.601;0.601
2012;Odivelas;0.613;0.0;0.338;0.0;1.0;1.0;1.0;0.366;0.611;;0.611;0.611
2012;Oeiras;0.348;0.077;0.233;0.463;0.906;0.895;1.0;1.0;;;;
2012;Oleiros;0.523;0.331;0.063;0.331;0.725;0.331;0.009;0.099;0.704;;0.704;0.704
2012;Olhão;0.324;0.944;0.251;0.0;1.0;0.38;0.939;0.353;0.802;;0.802;0.802
2012;Oliveira de Azeméis;0.0;0.341;0.0;0.0;0.868;0.861;0.608;0.39;0.719;;0.719;0.719
2012;Oliveira de Frades;0.38;0.244;0.0;0.0;0.592;1.0;0.043;0.69;;;;
2012;Oliveira do Bairro;0.08;0.0;0.007;0.0;0.725;0.564;0.314;0.34;0.586;;0.586;0.586
2012;Oliveira do Hospital;0.31;0.561;0.244;0.0;0.672;0.014;0.305;0.1;0.814;;0.814;0.814
2012;Ourém;0.108;0.0;0.007;0.0;0.895;0.854;0.276;0.332;0.618;;0.618;0.618
2012;Ourique;0.934;0.334;0.523;0.0;0.767;0.425;0.166;0.139;0.62;;0.62;0.62
2012;Ovar;0.056;0.171;0.101;0.0;0.739;0.53;1.0;0.362;0.541;;0.541;0.541
2012;Paços de Ferreira;0.202;0.293;0.181;0.0;0.913;0.042;1.0;0.044;0.613;;0.613;0.613
2012;Palmela;0.233;0.0;0.031;0.0;0.962;0.47;0.978;0.909;;;;
2012;Pampilhosa da Serra;0.331;0.0;0.697;0.331;0.331;0.0;0.015;0.15;0.624;;0.624;0.624
2012;Paredes;0.157;0.132;0.056;0.0;0.913;0.564;1.0;0.162;0.541;;0.541;0.541
2012;Paredes de Coura;0.0;0.0;0.15;0.0;0.523;0.0;0.039;0.076;0.517;;0.517;0.517
2012;Pedrógão Grande;0.331;0.369;0.331;0.0;0.331;0.829;0.049;0.108;1.0;;1.0;1.0
2012;Penacova;0.0;0.0;0.296;0.244;0.62;0.15;0.12;0.223;0.702;;0.702;0.702
2012;Penafiel;0.049;0.0;0.08;0.0;0.882;0.397;1.0;0.224;0.549;;0.549;0.549
2012;Penalva do Castelo;0.0;0.0;0.15;0.0;0.592;0.0;0.103;0.131;0.692;;0.692;0.692
2012;Penamacor;0.582;0.481;0.286;0.0;1.0;1.0;0.054;0.128;0.795;;0.795;0.795
2012;Penedono;0.345;0.345;0.345;0.345;0.345;0.345;0.08;0.399;0.766;;0.766;0.766
2012;Penela;0.345;0.0;0.345;0.0;0.345;0.707;0.052;0.421;1.0;;1.0;1.0
2012;Peniche;0.429;0.226;0.164;0.0;0.976;0.728;0.376;0.265;0.507;;0.507;0.507
2012;Peso da Régua;0.171;0.467;0.348;0.049;0.495;0.77;0.613;0.299;1.0;;1.0;1.0
2012;Pinhel;0.139;0.753;0.303;0.331;0.958;0.0;0.172;0.112;0.661;;0.661;0.661
2012;Pombal;0.237;0.432;0.122;0.502;1.0;0.714;0.47;0.35;0.958;;0.958;0.958
2012;Ponta Delgada;0.78;0.843;0.209;0.0;0.944;0.69;1.0;0.376;0.592;;0.592;0.592
2012;Ponta do Sol;0.369;0.334;0.0;0.334;1.0;0.334;0.16;0.158;0.554;;0.554;0.554
2012;Ponte da Barca;0.0;0.0;0.477;0.0;0.93;0.028;0.18;0.17;0.68;;0.68;0.68
2012;Ponte de Lima;0.0;0.0;0.0;0.0;0.652;0.035;0.432;0.113;0.739;;0.739;0.739
2012;Ponte de Sor;0.08;0.0;0.181;0.0;0.537;0.0;0.468;0.32;1.0;;1.0;1.0
2012;Portalegre;0.303;0.707;0.167;0.045;0.882;0.854;0.497;0.375;0.728;;0.728;0.728
2012;Portel;0.334;0.958;0.334;0.334;0.334;0.603;0.158;0.179;0.557;;0.557;0.557
2012;Portimão;0.446;0.54;0.324;0.017;1.0;1.0;1.0;0.423;0.52;;0.52;0.52
2012;Porto;0.129;0.254;0.108;0.0;0.544;0.774;1.0;0.928;;;;
2012;Porto de Mós;0.017;0.0;0.188;0.0;0.429;0.425;0.3;0.388;0.719;;0.719;0.719
2012;Porto Moniz;0.523;0.334;0.0;0.334;1.0;0.334;0.003;0.213;0.567;;0.567;0.567
2012;Porto Santo;0.164;0.906;0.202;0.0;1.0;1.0;0.051;0.666;;;;
2012;Póvoa de Lanhoso;0.24;0.247;0.108;0.0;0.864;0.53;0.241;0.112;0.55;;0.55;0.55
2012;Póvoa de Varzim;0.122;0.0;0.199;0.0;0.676;0.906;1.0;0.349;0.546;;0.546;0.546
2012;Povoação;1.0;0.418;0.54;0.01;1.0;1.0;0.588;0.376;0.527;;0.527;0.527
2012;Proença-a-Nova;0.111;0.331;0.0;0.0;0.679;0.331;0.01;0.13;1.0;;1.0;1.0
2012;Redondo;0.303;0.0;0.0;0.0;1.0;0.125;0.285;0.179;0.662;;0.662;0.662
2012;Reguengos de Monsaraz;0.314;0.098;0.209;0.0;1.0;1.0;0.446;0.302;0.661;;0.661;0.661
2012;Resende;0.233;0.0;0.08;0.0;0.997;0.836;0.546;0.129;0.624;;0.624;0.624
2012;Ribeira Brava;0.439;1.0;0.0;0.387;0.704;0.683;0.152;0.159;1.0;;1.0;1.0
2012;Ribeira de Pena;0.087;0.0;0.01;0.0;1.0;0.0;0.112;0.209;0.709;;0.709;0.709
2012;Ribeira Grande;0.993;1.0;0.314;0.481;1.0;0.585;1.0;0.376;0.589;;0.589;0.589
2012;Rio Maior;0.038;0.0;0.226;0.0;1.0;0.871;0.299;0.332;0.534;;0.534;0.534
2012;Sabrosa;0.188;0.0;0.049;0.0;0.662;0.115;0.146;0.414;0.559;;0.559;0.559
2012;Sabugal;0.895;0.0;0.073;0.0;1.0;0.0;0.26;0.116;0.536;;0.536;0.536
2012;Salvaterra de Magos;0.213;0.0;0.436;0.0;1.0;1.0;0.345;0.305;0.688;;0.688;0.688
2012;Santa Comba Dão;0.0;0.446;0.0;0.111;1.0;1.0;0.161;0.229;0.793;;0.793;0.793
2012;Santa Cruz;0.415;0.787;0.0;0.0;0.784;0.0;0.688;0.564;;;;
2012;Santa Cruz da Graciosa;0.686;1.0;0.348;0.425;1.0;0.345;0.209;0.376;1.0;;1.0;1.0
2012;Santa Cruz das Flores;0.603;0.345;0.777;0.345;1.0;0.345;0.068;0.376;0.626;;0.626;0.626
2012;Santa Maria da Feira;0.0;0.0;0.0;0.0;0.735;0.944;1.0;0.395;0.789;;0.789;0.789
2012;Santa Marta de Penaguião;0.331;0.331;0.331;0.331;0.331;0.331;0.243;0.091;0.614;;0.614;0.614
2012;Santana;0.0;0.338;0.0;0.338;0.997;0.338;0.172;0.214;0.636;;0.636;0.636
2012;Santarém;0.118;0.0;0.139;0.0;0.941;0.578;1.0;0.438;0.595;;0.595;0.595
2012;Santiago do Cacém;0.077;0.223;0.0;0.0;0.833;0.348;0.297;0.357;0.647;;0.647;0.647
2012;Santo Tirso;0.066;0.0;0.059;0.0;0.561;0.202;1.0;0.245;0.671;;0.671;0.671
2012;São Brás de Alportel;0.254;0.0;0.265;0.0;0.233;1.0;0.18;0.38;0.647;;0.647;0.647
2012;São João da Madeira;0.0;0.0;0.0;0.0;0.861;0.265;0.295;0.38;0.568;;0.568;0.568
2012;São João da Pesqueira;0.69;0.362;0.3;0.031;1.0;1.0;0.147;0.19;0.553;;0.553;0.553
2012;São Pedro do Sul;0.101;0.0;0.024;0.0;0.77;0.0;0.199;0.078;0.553;;0.553;0.553
2012;São Roque do Pico;0.613;0.345;0.725;0.0;0.348;0.812;0.137;0.376;1.0;;1.0;1.0
2012;São Vicente;0.0;1.0;0.087;0.0;0.812;0.76;0.046;0.206;0.718;;0.718;0.718
2012;Sardoal;0.47;0.77;0.812;0.0;0.871;0.488;0.105;0.121;0.613;;0.613;0.613
2012;Sátão;0.348;0.063;0.293;0.0;1.0;1.0;0.234;0.071;0.704;;0.704;0.704
2012;Seia;0.056;0.101;0.153;0.0;0.749;0.021;0.573;0.164;0.542;;0.542;0.542
2012;Seixal;0.307;0.028;0.23;0.0;1.0;1.0;1.0;0.738;;;;
2012;Sernancelhe;0.328;0.0;0.328;0.0;0.328;0.0;0.153;0.051;0.811;;0.811;0.811
2012;Serpa;0.118;0.0;0.073;0.0;0.666;0.481;0.653;0.179;1.0;;1.0;1.0
2012;Sertã;0.185;0.0;0.0;0.0;0.941;0.446;0.207;0.155;0.55;;0.55;0.55
2012;Sesimbra;0.286;0.115;0.206;0.0;1.0;1.0;0.691;0.36;0.514;;0.514;0.514
2012;Setúbal;0.213;0.0;0.275;0.0;1.0;1.0;1.0;0.774;;;;
2012;Sever do Vouga;0.15;0.0;0.0;0.0;0.753;0.01;0.071;0.342;0.714;;0.714;0.714
