Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor GMM
2017;Coimbra;0.063;0.0;0.0;0.0;0.683;0.721;1.0;0.626;1098.8
2017;Constância;0.439;0.0;0.0;0.0;0.76;0.753;0.048;0.789;1207.0
2017;Entroncamento;0.202;0.0;0.0;0.0;0.641;0.328;0.231;0.614;1090.9
2017;Estarreja;0.449;0.174;0.0;0.0;0.551;1.0;0.469;0.636;1105.0
2017;Évora;0.275;0.0;0.0;0.0;0.819;0.178;0.933;0.595;1078.1
2017;Faro;0.164;0.0;0.0;0.0;0.718;0.84;0.971;0.647;1112.9
2017;Figueira da Foz;0.0;0.0;0.0;0.0;0.286;0.603;0.707;0.671;1128.8
2017;Funchal;0.073;0.167;0.045;0.0;0.564;0.596;1.0;0.647;1112.8
2017;Horta;1.0;0.0;0.495;0.0;0.115;0.0;0.203;0.568;1060.2
2017;Ílhavo;0.348;0.0;0.0;0.0;0.686;1.0;0.478;0.553;1050.0
2017;Leiria;0.129;0.0;0.0;0.0;0.582;0.348;0.688;0.553;1050.1
2017;Lisboa;0.341;0.0;0.077;0.0;0.561;0.794;1.0;1.0;1346.7
2017;Loures;0.429;0.0;0.028;0.0;0.666;0.749;1.0;0.718;1159.9
2017;Machico;0.0;0.972;0.0;0.0;0.592;0.258;0.223;0.613;1089.9
2017;Maia;0.373;0.094;0.0;0.0;0.352;0.24;1.0;0.704;1150.3
2017;Mangualde;0.028;0.0;0.0;0.0;0.927;1.0;0.252;0.542;1043.1
2017;Marinha Grande;0.0;0.0;0.0;0.0;0.516;0.408;0.402;0.853;1248.9
2017;Matosinhos;0.282;0.0;0.0;0.0;0.662;0.157;1.0;0.811;1221.1
2017;Oeiras;0.289;0.0;0.0;0.0;0.624;0.941;0.971;1.0;1346.7
2017;Oliveira de Azeméis;0.0;0.0;0.0;0.0;0.505;0.15;0.338;0.55;1048.3
2017;Oliveira de Frades;0.568;0.0;0.0;0.0;0.296;0.864;0.005;0.514;1024.1
